unique_id,age,workclass,education,marital-status,occupation,sex,hours-per-week,native-country
10001,50,,Bachelors,Married-civ-spouse,Exec-managerial,M,NO,United-States
10002,38,Private,HS-grad,,Handlers-cleaners,8,40,United-States
10003,,Private,?,,Handlers-cleaners,8,40,Africa
10004,53,Private,11th,Married-civ-spouse,Handlers-cleaners,,9356,United-States
10005,28,Private,Bachelors,Married-civ-spouse,Prof-specialty,F,40,Cuba
10006,NO,Private,Masters,Married-civ-spouse,,F,40,United-States
10007,49,Private,9th,Married-spouse-absent,Other-service,F,16,Jamaica
10007,49,Private,9th,Married-spouse-absent,Other-service,F,16,Jamaica
10008,52,Self-emp-not-inc,HS-grad,Married-civ-spouse,Exec-managerial,M,45,United-States
10009,31,Private,Masters,Never-married,Prof-specialty,F,50,United-States
10010,42,Private,Bachelors,Married-civ-spouse,Exec-managerial,M,40,United-States
10011,NO,Private,Some-college,Married-civ-spouse,Exec-managerial,M,NO,United-States
10012,30,,Bachelors,Married-civ-spouse,Prof-specialty,M,40,India
10013,23,Private,Actress,Never-married,Adm-clerical,F,30,United-States
10014,32,Private,Assoc-acdm,Never-married,Sales,M,50,United-States
10014,32,Private,Assoc-acdm,Never-married,Sales,M,50,United-States
10015,40,Private,Assoc-voc,Married-civ-spouse,Craft-repair,O,40,?
10015,40,Private,Assoc-voc,Married-civ-spouse,Craft-repair,M,DK,?
10016,34,Private,7th-8th,Married-civ-spouse,Transport-moving,M,45,Mexico
10017,25,Self-emp-not-inc,HS-grad,Never-married,,DK,35,United-States
10018,32,Private,HS-grad,Never-married,Machine-op-inspct,M,40,
10019,38,Private,11th,Married-civ-spouse,Sales,M,50,United-States
10020,43,Self-emp-not-inc,Masters,Divorced,Exec-managerial,F,45,United-States
10021,40,Private,,Married-civ-spouse,Prof-specialty,,60,United-States
10022,54,Private,HS-grad,Separated,Other-service,F,NO,United-States
10023,274,Federal-gov,9th,Married-civ-spouse,Farming-fishing,M,40,United-States
10024,43,Private,11th,Married-civ-spouse,Transport-moving,M,40,Africa
10025,DK,Private,HS-grad,Divorced,3,F,40,United-States
10026,56,Local-gov,Bachelors,Married-civ-spouse,Tech-support,M,40,United-States
10027,19,Private,HS-grad,,Craft-repair,M,40,United-States
10028,54,?,Some-college,Married-civ-spouse,?,M,60,South
10029,39,Private,HS-grad,Divorced,Exec-managerial,M,?,United-States
10030,49,Private,HS-grad,,Craft-repair,M,40,United-States
10031,23,Local-gov,Assoc-acdm,Never-married,Protective-serv,M,52,United-States
10032,20,Private,Some-college,Never-married,Sales,M,44,United-States
10033,45,Private,Bachelors,Divorced,Exec-managerial,M,,United-States
10034,30,Federal-gov,Some-college,,Adm-clerical,0,40,United-States
10035,22,State-gov,Some-college,Married-civ-spouse,Other-service,M,15,United-States
10036,48,Private,,Never-married,Machine-op-inspct,M,40,Puerto-Rico
10037,NO,Private,Some-college,Never-married,,M,DK,United-States
10038,19,Private,HS-grad,Married-AF-spouse,Adm-clerical,F,25,United-States
10039,31,Private,Some-college,Married-civ-spouse,Sales,M,38,
10040,48,Self-emp-not-inc,Assoc-acdm,Married-civ-spouse,Prof-specialty,M,40,United-States
10041,31,,9th,Married-civ-spouse,Machine-op-inspct,O,43,United-States
10042,53,Self-emp-not-inc,Bachelors,Married-civ-spouse,Prof-specialty,M,7346,United-States
10043,24,Private,Bachelors,Married-civ-spouse,Tech-support,M,50,United-States
10044,49,Private,HS-grad,Separated,Adm-clerical,F,40,United-States
10045,25,Private,HS-grad,Never-married,Handlers-cleaners,M,?,United-States
10046,57,Federal-gov,Bachelors,Married-civ-spouse,Prof-specialty,M,40,Africa
10047,53,Private,HS-grad,Married-civ-spouse,,M,38,United-States
10048,44,Private,Masters,Divorced,Exec-managerial,F,40,United-States
10049,41,State-gov,Assoc-voc,Married-civ-spouse,Craft-repair,M,NO,United-States
10050,29,Private,Assoc-voc,Never-married,Prof-specialty,M,43,United-States
10051,25,Private,Some-college,Married-civ-spouse,Exec-managerial,F,40,United-States
10052,18,Private,HS-grad,Never-married,Other-service,F,30,
10052,18,Private,HS-grad,Never-married,0,F,30,
10053,47,Private,Prof-school,Married-civ-spouse,Prof-specialty,F,60,Honduras
10054,50,Federal-gov,Bachelors,Divorced,Exec-managerial,M,55,United-States
10055,47,Self-emp-inc,,Divorced,Exec-managerial,M,60,United-States
