Gender,Name,Count,Rank,Date
F,Olivia,171,1,"September 1, 2018"
,chloe,112,,"July 7, 2018"
F,Sophia,104,3,"December 23, 2018"
F,,99,,"May 16, 2018"
Female,Emma,97000,5,"August 20, 2018"
F,mia,79,6,"November 5, 2018"
,Charlotte,,7,"September 13, 2018"
F,Sophia,104,3,"December 23, 2018"
F,Sarah,57,8,"July 4, 2018"
F,Isabella,,9,"October 31, 2018"
F,Han nah,50,,"April 9, 2018"
?,Ethan,193,1,"March 2, 2018"
M,Ryan,160,2,"November 15, 2018"
M,Ryan,160,2,"November 15, 2018"
,Muhammad,150,3,"June 1, 2018"
?,Lucas,148,4,"January 10, 2018"
M,Jay den,,5,"October 11, 2018"
Male,Aiden,OneHundred,6,"August 23, 2018"
,daniel,-81,7,"May 5, 2018"
M,Evan,77,X,"March 25, 2018"
,Jason,76000,9,"July 13, 2018"
M,Liam,70,10,"September 6, 2018"
